นิวยอร์ก,new-yɔ̂ɔk
ยักเยื้อง,yák-yʉ́aŋ
ยักย้ายถ่ายเท,yák-yáay-thàay-thee
ยักย้าย,yák-yáay
ยักท่า,yák-thâa
หยักศก,yàk-sòk
ยักษิณี,yák-sì-nii
หยักรั้ง,yàk-ráŋ
เยื่อกระดาษ,yʉ̂a-krà-dàat
ยักหล่ม,yák-lòm
ยักไหล่,yák-lày
ยักกระสาย,yák-krà-sǎay
ยักคิ้วหลิ่วตา,yák-khíw-lìw-taa
ยักขินี,yák-khì-nii
เยื่อเคย,yʉ̂a-khəəy
หยัก,yàk
ยัก,yák
ยักษ์,yák
ยักข์,yák
เหยือก,yʉ̀ak
ย้ายถิ่น,yáay-thìn
ย้ายที่,yáay-thîi
ย้าย,yáay
ยาย,yaay
ยาวเหยียด,yaaw-yìat
ยาวนาน,yaaw-naan
ยาวิเศษ,yaa-wí-sèet
ยาว,yaaw
ญาติโยม,yâat-yoom
หยาดเยิ้ม,yàat-yə́əm
ญาติสายโลหิต,yâat-sǎay-loo-hìt
ญาติผู้ใหญ่,yâat-phûu-yày
ญาติพี่น้อง,yâat-phîi-nɔ́ɔŋ
หยาดเหงื่อ,yàat-ŋʉ̀a
หยาดน้ำ,yàat-náam
ญาติมิตร,yâat-mít
ยาทาเล็บ,yaa-thaa-lép
ยาทา,yaa-thaa
หยาดฝน,yàat-fǒn
ญาติดีกัน,yâat-dii-kan
ญาติดี,yâat-dii
ญาติ,yâat
หยาด,yàat
ยาสูบ,yaa-sùup
หย่าศึก,yàa-sʉ̀k
ยาสีฟัน,yaa-sǐi-fan
ยาเสพติด,yaa-sèep-tìt
ยาเสพย์ติด,yaa-sèep-tìt
ยาสมุนไพร,yaa-sa-mǔn-phray
ยาระงับประสาท,yaa-rá-ŋáp-prà-sàat
ยารักษาโรค,yaa-rák-sǎa-rôok
หย่าร้าง,yàa-ráaŋ
หยาบหยาม,yàap-yǎam
ยาปราบศัตรูพืช,yaa-pràap-sàt-truu-phʉ̂ʉt
หยาบโลน,yàap-loon
หยาบกระด้าง,yàap-krà-dâaŋ
